iter	Logloss
0	0.4258265904
1	0.3673969378
2	0.3248324847
3	0.3064507882
4	0.2951916853
5	0.2824881243
6	0.2639521659
7	0.2554974016
8	0.2479074358
9	0.238777117
10	0.2305513916
11	0.2244090925
12	0.2187487619
13	0.2139637277
14	0.2102961077
15	0.2065789446
16	0.2025242397
17	0.2013936768
18	0.1961610282
19	0.1930341797
20	0.1912904227
21	0.1896002895
22	0.188778983
23	0.1873272879
24	0.18579759
25	0.1798441336
26	0.1789586182
27	0.1753223179
28	0.1730168806
29	0.1700407366
30	0.1666047712
31	0.1657791051
32	0.1655013428
33	0.1635005406
34	0.1627765939
35	0.1603213588
36	0.1590003139
37	0.1587768729
38	0.1569941057
39	0.1562143555
40	0.1556644985
41	0.1541434675
42	0.1524805908
43	0.1506272321
44	0.1494357736
45	0.1487595564
46	0.1480460031
47	0.1474141148
48	0.146334804
49	0.1459958496
50	0.1453599418
51	0.1449934605
52	0.1446053118
53	0.1422268851
54	0.1408037545
55	0.1406383405
56	0.1400283988
57	0.1399373343
58	0.1387568359
59	0.1380516619
60	0.1375911691
61	0.1365355748
62	0.1355427769
63	0.1354093628
64	0.1340284075
65	0.1331774815
66	0.1331763131
67	0.1326906041
68	0.1314560896
69	0.1311587524
70	0.1309429583
71	0.1306316267
72	0.130631243
73	0.1302920445
74	0.1284694911
75	0.1284325649
76	0.1280673479
77	0.1277372437
78	0.1263329119
79	0.1259286237
80	0.1258562796
81	0.1251725464
82	0.1245239955
83	0.1241358643
84	0.1236610718
85	0.123543614
86	0.1231363264
87	0.1230866525
88	0.123075204
89	0.1228451712
90	0.1226851196
91	0.1222212176
92	0.1220750645
93	0.1205560477
94	0.1203096749
95	0.120008109
96	0.1199478498
97	0.1192307739
98	0.1192233102
99	0.1186019113
100	0.1182741002
101	0.1180722395
102	0.1180512434
103	0.1175586984
104	0.1174568133
105	0.1172787301
106	0.117168239
107	0.1171231166
108	0.1170516096
109	0.1161108137
110	0.1154891706
111	0.1150578526
112	0.1147678833
113	0.1143847831
114	0.1143238351
115	0.1142947649
116	0.1140029994
117	0.1131691895
118	0.1125214757
119	0.1123636039
120	0.1118454764
121	0.1116904733
122	0.1116817889
123	0.111578064
124	0.1113570382
125	0.1110769915
126	0.1107138585
127	0.1106374337
128	0.1105872367
129	0.1103765956
130	0.1100198975
131	0.1097762451
132	0.109776219
133	0.1097762277
134	0.1096865496
135	0.1095971941
136	0.1092874843
137	0.1092329625
138	0.1091855556
139	0.1091833583
140	0.1091328387
141	0.1084835292
142	0.1084821952
143	0.108477696
144	0.1084776524
145	0.1084776437
146	0.1083896833
147	0.1083579102
148	0.1083567679
149	0.108322004
150	0.1083218994
151	0.1083218994
152	0.1083218994
153	0.107395874
154	0.1073071987
155	0.1072010411
156	0.1071772723
157	0.1071703753
158	0.107168117
159	0.107084246
160	0.1070039586
161	0.1070012817
162	0.106927002
163	0.1068579886
164	0.1068559832
165	0.1068327288
166	0.1066735753
167	0.1065843331
168	0.1061977539
169	0.1061665213
170	0.1061251221
171	0.1060652204
