iter	Logloss
0	0.3675067662
1	0.3288438198
2	0.3058698033
3	0.2782743617
4	0.2678924386
5	0.2463215332
6	0.2402750244
7	0.2323829869
8	0.2279516253
9	0.2274563511
10	0.2205773577
11	0.2172637939
12	0.2152264927
13	0.2143933629
14	0.2141041434
15	0.2084971924
16	0.20654119
17	0.2019064593
18	0.1971503383
19	0.1947926897
20	0.192163365
21	0.192156686
22	0.1917693743
23	0.1909854039
24	0.190944179
25	0.1907502267
26	0.1901344169
27	0.1883135114
28	0.1883123256
29	0.187478847
30	0.1873494001
31	0.187300572
32	0.1869923968
33	0.18694247
34	0.1847209473
35	0.1832043108
36	0.183173148
37	0.1830847342
38	0.1789392613
39	0.1781607666
40	0.1765867397
41	0.1765139683
42	0.1762632533
43	0.1759665702
44	0.1753267648
45	0.171801287
46	0.1717015206
47	0.1703678153
48	0.1703507952
49	0.1702446463
50	0.168746582
51	0.1646459438
52	0.1646169259
53	0.1643783133
54	0.1626374686
55	0.1597135882
56	0.1596172224
57	0.1595064174
58	0.1592789481
59	0.1592784598
60	0.1581249651
61	0.1565427246
62	0.155439924
63	0.1523619734
64	0.1521560756
65	0.1519109235
66	0.151533674
67	0.1514802246
68	0.1512912946
69	0.1512429374
70	0.1512321603
71	0.151196882
72	0.1511926095
73	0.1494878278
74	0.1494813058
75	0.1483095529
76	0.1482703334
77	0.1482464251
78	0.1460728934
79	0.1460726057
80	0.1460726144
81	0.1460723964
82	0.1455834525
83	0.145568124
84	0.1455501535
85	0.1452396851
86	0.1451125488
87	0.1450338658
88	0.1450338484
89	0.1448820365
90	0.1431353498
91	0.1423615548
92	0.1423586251
93	0.1422425101
94	0.1422352208
95	0.1421880057
96	0.1421107265
97	0.1411301095
98	0.1411290981
99	0.1411259068
100	0.1405476074
101	0.1405114746
102	0.1405094779
103	0.1403545794
104	0.1403513532
105	0.1403400443
106	0.1403371669
107	0.1403363909
108	0.140304984
109	0.1402518136
110	0.1402436611
111	0.1402436175
112	0.1402228568
113	0.1402143119
114	0.1402134312
